ProjectName,Theorem,ProofSequence,Introduction_Patterns,Simplification_Patterns,Application_Patterns,Rewriting_Patterns,Automation_Patterns,Analysis_Patterns
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,phi,"['intro', 'induction', 'intros', 'destruct', 'exists', 'auto', 'right', 'assumption', 'simpl', 'intro', 'apply', 'apply', 'auto', 'apply', 'destruct', 'apply', '[ unfold evolve_t', 'apply', 'auto', 'apply', 'auto', 'left', 'auto']",2,0,2,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,monotonic_correct,"['intro', 'unfold', 'union_evolve', 'exists', 'apply']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,silent,"['intro', 'induction', 'auto', 'simpl', 'unfold', 'apply', 'apply', 'auto', 'apply', 'apply']",0,1,3,0,2,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,wmonotonic_correct_t,"['unfold', 'union_evolve', 'exists', 'apply']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,visible,"['intro', 'induction', 'intro', 'simpl', 'apply', 'apply', 'apply', 'apply', 'auto', 'apply', 'apply', 'auto', 'apply', 'left', 'auto']",1,1,2,0,1,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,wmonotonic_correct,"['intro', 'destruct', 'apply', 'unfold', 'union_evolve', 'exists', 'apply']",0,0,1,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,pre_silent,"['intro', 'induction', 'simpl', 'unfold', 'apply', 'apply', 'apply', 'apply', 'auto', 'apply', 'apply', 'auto', 'left', 'auto']",0,2,3,0,1,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,HFGn,"['intro', 'induction', 'simpl', 'auto', 'intros', 'destruct', 'left', 'auto', 'right', 'apply']",0,2,0,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,pre_visible,"['intros', 'induction', 'simpl', 'intro', 'destruct', 'auto', 'apply', 'unfold', 'auto', 'right', 'apply', 'auto', 'apply', 'auto', 'apply', '[ apply union2_evolve_left | apply union2_evolve_right ]', 'auto', 'apply', 'auto', 'destruct', 'apply', 'left', 'apply', 'auto', 'apply', 'left', 'apply', 'auto']",1,1,2,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,HGFGn,"['intro', 'induction', 'right', 'auto', 'intros', 'celim', 'intro', 'auto', 'left', 'auto', 'right', 'exact']",0,0,0,0,1,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,HGFG,"['split', 'apply', 'repeat', 'apply', 'intros', 'destruct', 'exists', 'apply', 'assumption', 'intros', 'destruct', 'exists', 'apply', 'exact', 'repeat', 'auto', 'apply']",1,0,1,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,unified_correct,"['eapply', 'try', 'apply', 'apply', 'exact', 'exact', 'intro', 'apply', 'auto', 'apply', 'auto', 'apply']",0,0,4,0,1,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,HBGGn,"['intros', 'right', 'apply']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,HGGBF,"['split', 'intros', 'destruct', 'exists', 'cgen', 'cgen', 'cgen', 'induction', 'intros', 'destruct', 'destruct', 'right', 'exists', 'apply', 'exists', 'auto', 'apply', 'auto', 'celim', 'intro', 'left', 'apply', 'auto', 'right', 'exact', 'intros', 'apply', 'auto', 'intros', 'exists', 'auto', 'exists', 'auto']",2,0,1,0,3,7
/mnt/cisk/zmq/dataset/data/weak-up-to/Theory.json,controlled_correct,"['eapply', 'try', 'exact']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,trans_incl,['auto'],0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,trans_eeq,"['unfold', 'intuition']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,comp_incl,"['unfold', 'intuition', 'destruct', 'exists', 'auto']",0,0,0,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,comp_eeq,"['unfold', 'intuition', 'destruct', 'exists', 'auto']",0,0,0,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,union_incl,"['unfold', 'intuition', 'destruct', 'exists', 'auto']",0,0,0,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,union_eeq,"['unfold', 'intuition', 'destruct', 'destruct', 'exists', 'auto']",0,0,0,0,1,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,union2_incl,"['unfold', 'intuition']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,union2_eeq,"['unfold', 'intuition']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,star_incl,"['intros', 'induction', 'auto', 'apply', 'auto']",0,0,1,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,star_eeq,"['intro', 'destruct', 'split', 'intros', 'induction', 'auto', 'apply', 'auto']",0,0,1,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,plus_incl,"['intros', 'destruct', 'exists', 'auto', 'apply', 'assumption']",0,0,0,0,2,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,plus_eeq,"['intro', 'elim', 'intros', 'split', 'intros', 'destruct', 'exists', 'auto', 'apply', 'assumption', 'apply', 'assumption']",0,0,0,0,2,7
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,incl_trans,"['unfold', 'auto']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,eeq_refl,"['intros', 'split', 'apply']",0,0,0,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,eeq_trans,"['unfold', 'split', 'intuition']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,eeq_sym,"['unfold', 'split', 'intuition']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,star1,"['intros', 'eapply', '[ apply xRy | apply star_refl ].']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,star_S,"['intros', 'induction', 'apply', 'assumption', 'apply', 'intuition']",0,0,0,0,0,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,star_trans,"['intros', 'induction', 'intuition', 'apply', 'assumption']",0,0,0,0,0,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,plus_star,"['intros', 'elim', 'intros', 'apply', 'intuition']",1,0,0,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,plus_star_plus,"['intros', 'elim', 'intros', 'exists', 'intuition', 'apply', 'assumption']",0,0,0,0,0,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,star_plus_plus,"['induction', 'intros', 'assumption', 'exists', 'intuition', 'apply', 'assumption']",1,0,0,0,0,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,plus_trans,"['intros', 'apply', 'try', 'assumption']",1,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,plus1,"['intros', 'exists', 'intuition']",0,0,0,0,0,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,plus_S,"['intros', 'apply', 'try', 'assumption']",1,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,S_plus,"['intros', 'exists', 'assumption']",0,0,0,0,0,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,Acc_clos_trans,"['induction', 'apply', 'intros', 'elim', 'intros', 'clear', 'generalize', 'clear', 'intro', 'destruct', 'intuition', 'apply', 'auto', 'exists', 'intuition']",1,0,2,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,plus_wf,"['intro', 'auto']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,inv_inv,"['intros', 'unfold', 'intuition']",1,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,inv_comp,"['intros', 'unfold', 'intuition', 'destruct', 'exists', 'auto']",1,0,0,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,inv_union,"['intros', 'unfold', 'intuition']",1,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,inv_star,"['split', 'unfold', 'induction', 'auto', 'apply', 'auto', 'unfold', 'induction', 'auto', 'apply', 'auto']",0,0,1,0,2,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,inv_plus,"['split', 'unfold', 'intros', 'destruct', 'cgen', 'cgen', 'induction', 'intros', 'apply', 'apply', 'elim', 'auto', 'intros', 'exists', 'intuition', 'apply', 'auto', 'unfold', 'intros', 'destruct', 'cgen', 'cgen', 'induction', 'intros', 'apply', 'apply', 'elim', 'auto', 'intros', 'exists', 'intuition', 'apply', 'auto']",4,0,2,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,inv_union2,"['split', '(intros x y H', 'celim', 'intro', '[ left | right ]', 'auto']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,comp_assoc,"['intros', 'split', 'intros', 'destruct', '[ destruct H1 as [ t ] | destruct H2 as [ t ] ]', 'exists', 'auto', 'exists', 'auto']",0,0,0,0,1,4
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,comp_star_star,"['split', 'intros', 'destruct', 'apply', 'assumption', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,comp_plus_star,"['split', 'intros', 'destruct', 'apply', 'assumption', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Relations.json,comp_star_plus,"['split', 'intros', 'destruct', 'apply', 'assumption', 'exists', 'auto', 'apply', 'assumption']",0,0,0,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,identity_mon,"['apply', 'intros', 'unfold', 'auto', 'intro', 'auto']",2,0,1,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,constant_mon,"['intro', 'apply', 'intros', 'unfold', 'auto', 'intros', 'auto']",2,0,1,0,1,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,chaining_r_mon,"['intro', 'apply', 'unfold', 'intros', 'intros', 'destruct', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto']",2,0,1,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,chaining_l_mon,"['clear', 'intro', 'split', 'intros', 'destruct', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'celim', 'intro', 'exists', 'auto', 'exists', 'auto', 'destruct', 'apply', 'auto', 'destruct', 'exists', 'auto', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto']",0,0,1,0,2,5
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,Comp_mon,"['unfold', 'split', 'intros', 'apply', 'intros', 'apply', 'intros', 'apply', 'intro', 'destruct', 'apply', 'apply', 'apply']",2,0,2,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,Union2_mon,"['unfold', 'split', 'intros', 'destruct', '[ left', 'apply', 'apply', 'auto', 'intros', 'celim', 'intro', ""[ destruct (mon_t HF H H' _ _ _ Hxx' xRy) as [ y' ] | destruct (mon_t HG H H' _ _ _ Hxx' xRy) as [ y' ] ]"", 'exists', 'auto', '[ left | right ]', 'auto', 'intros', 'celim', 'intro', ""[ destruct (mon_a HF H H' _ _ _ _ Hxx' xRy) as [ y' ] | destruct (mon_a HG H H' _ _ _ _ Hxx' xRy) as [ y' ] ]"", 'exists', 'auto', '[ left | right ]', 'auto']",0,0,2,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,Union_mon,"['unfold', 'split', 'intros', 'destruct', 'exists', 'apply', 'auto', 'intros', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto', 'intros', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto']",0,0,1,0,2,5
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,UExp_mon,"['intro', 'induction', 'apply', 'simpl', 'fold', 'apply', 'auto', 'fold', 'apply', 'auto']",0,1,1,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Monotonic.json,UIter_mon,"['unfold', 'change', 'apply', 'intro', 'apply']",1,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Controlled.json,wexpansion1_ctrl_t,"['intros', 'destruct', 'cgen', 'cgen', 'induction', 'intros', 'apply', 'destruct', 'celim', 'intro', 'destruct', 'exists', 'auto', 'exists', 'auto', 'apply', 'auto', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto', 'apply', 'auto']",2,0,1,0,2,4
/mnt/cisk/zmq/dataset/data/weak-up-to/Functions.json,UExp_incl,"['intros', 'left', 'auto']",0,0,0,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Functions.json,UIter_incl,"['intros', 'exists', 'auto']",0,0,0,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Functions.json,UExp_inc,"['intros', 'induction', 'intros', 'simpl', 'auto', 'celim', 'intro', 'left', 'exact', 'right', 'apply']",2,1,0,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Functions.json,UIter_inc,"['intros', 'destruct', 'exists', 'apply']",0,0,0,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Functions.json,UExp_UExp,"['intros', 'induction', 'intros', 'reflexivity', 'simpl', 'rewrite', 'reflexivity']",1,1,0,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Functions.json,UIter_02,"['intros', 'destruct', 'cgen', 'cgen', 'cgen', 'induction', 'intros', 'apply', 'exact', 'celim', 'intro', 'auto', 'apply', 'exact']",2,0,0,0,1,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Functions.json,UExp_trans,"['intros', 'induction', 'split', 'intros', 'auto', 'celim', 'intro', 'left', 'exact', 'right', 'apply', 'apply', 'auto', 'left', 'exact', 'right', 'apply', 'apply']",0,0,2,0,0,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Functions.json,UIter_trans,"['intro', 'split', 'intros', 'destruct', 'exists', 'exact', 'exact']",0,0,1,0,0,4
/mnt/cisk/zmq/dataset/data/weak-up-to/Applications.json,F_mon,"['unfold', 'apply', 'apply', 'apply', 'apply', 'apply']",0,0,2,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Applications.json,G_wmon,"['unfold', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply', 'apply']",0,0,2,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Applications.json,FG,"['intros', 'destruct', 'destruct', 'unfold', 'simpl', 'apply', 'auto', 'right', 'unfold', 'apply', 'apply', 'auto', 'apply', 'left', 'auto', 'apply', 'right', 'auto']",0,2,3,0,1,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Applications.json,G_reverse,"['intros', 'unfold', 'eapply', '[ apply inv_star | apply star_eeq ].', 'eapply', '[ apply inv_union2 | apply union2_eeq', 'auto', 'split', 'intros', 'apply']",2,0,0,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Applications.json,BG,"['intros', 'destruct', 'unfold', 'simpl', 'apply', 'auto', 'right', 'induction', 'apply', 'apply', 'auto', 'apply', 'apply', 'left', 'auto']",0,2,2,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Applications.json,B'G,"['intros', 'destruct', 'unfold', 'simpl', 'apply', 'auto', 'right', 'induction', 'apply', 'apply', 'auto', 'apply', 'apply', 'left', 'auto']",0,2,2,0,1,1
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,weak_strong,"['intros', 'generalize', 'intros', 'destruct', 'auto', 'intros', 'destruct', 'destruct', 'destruct', 'destruct', 'destruct', 'exists', 'auto', 'apply', 'auto', 'apply', 'auto']",2,0,1,0,3,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,union2_evolve_left,"['intros', 'destruct', 'exists', 'auto', 'left', 'auto']",0,0,0,0,1,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,union2_evolve_right,"['intros', 'destruct', 'exists', 'auto', 'right', 'auto']",0,0,0,0,1,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,union_evolve,"['intros', 'destruct', 'destruct', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,evolve_union,"['intros', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,incl_evolve,"['intros', 'destruct', 'exists', 'auto']",0,0,0,0,1,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,evolve_incl,"['intros', 'destruct', 'exists', 'auto']",0,0,0,0,1,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,simulation_eeq,"['intros', 'apply', 'apply', 'apply', 'apply', 'apply']",1,0,1,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,simulation_t_eeq,"['intros', 'unfold', 'apply', 'apply', 'apply', 'apply', 'apply']",1,0,2,0,0,0
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,bisimulation_bisim,"['split', 'intros', 'destruct', ""[ destruct (proj1 HR _ _ _ _ Hxx' xRy) as [ y' ] | destruct (proj2 HR _ _ _ _ Hxx' xRy) as [ y' ] ]"", 'exists', 'auto', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,expansion_expand,"['split', 'intros', 'destruct', ""[ destruct (proj1 HR _ _ _ _ Hxx' xRy) as [ y' ] | destruct (proj2 HR _ _ _ _ Hxx' xRy) as [ y' ] ]"", 'exists', 'auto', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,wexpansion_wexpand,"['split', 'intros', 'destruct', ""[ destruct (proj1 HR _ _ _ _ Hxx' xRy) as [ y' ] | destruct (proj2 HR _ _ _ _ Hxx' xRy) as [ y' ] ]"", 'exists', 'auto', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,expand_wexpand,"['intros', 'destruct', 'exists', 'auto', 'split', 'intros', 'destruct', 'exists', 'auto', 'destruct', 'simpl', 'intuition', 'exists', 'auto', 'exact']",0,0,0,0,2,4
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,wexpand_bisim,"['intros', 'destruct', 'exists', 'auto', 'split', 'intros', 'destruct', 'exists', 'auto', 'destruct', 'simpl', 'celim', 'intro', 'try', 'auto', 'exists', 'auto', 'exact']",0,0,0,0,1,4
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,simulation_comp,"['intros', 'destruct', 'destruct', 'destruct', 'exists', 'auto', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,expansion1_comp,"['intros', 'destruct', 'destruct', 'destruct', 'celim', 'intro', 'destruct', 'exists', '[ left | exists t ]', 'auto', 'destruct', 'exists', 'auto', 'exists', 'auto', 'destruct', 'exists', 'auto', 'exists', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,wexpansion1_t,"['intros', 'cgen', 'induction', 'intros', 'exists', 'auto', 'destruct', 'destruct', 'exists', 'auto', 'celim', 'intro', 'destruct', 'auto', 'apply', 'auto']",1,0,1,0,2,4
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,wexpansion1_comp,"['intros', 'destruct', 'destruct', 'destruct', 'celim', 'intro', 'destruct', 'exists', '[ left | exists t ]', 'auto', 'destruct', 'exists', 'auto', 'exists', 'auto', 'destruct', 'destruct', 'destruct', 'exists', 'destruct', 'exists', 'auto', 'apply', 'auto', 'exists', 'auto']",0,0,1,0,2,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,bisimulation_comp,"['unfold', 'intros', 'split', 'apply', 'intuition', 'eapply', 'try', 'apply', 'apply', 'intuition']",2,0,2,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,expansion_comp,"['unfold', 'intros', 'split', 'apply', 'intuition', 'eapply', 'try', 'apply', 'apply', 'intuition']",2,0,2,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,wexpansion_comp,"['unfold', 'intros', 'split', 'apply', 'intuition', 'eapply', 'try', 'apply', 'apply', 'intuition']",2,0,2,0,0,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,bisim_sym,"['intros', 'destruct', 'exists', 'auto', 'celim', 'intro', 'split', 'auto']",0,0,0,0,2,2
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,bisim_refl,"['intro', 'exists', 'auto', 'split', 'intros', 'exists', 'destruct', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,bisim_trans,"['intros', 'destruct', 'destruct', 'exists', 'apply', 'auto', 'exists', 'auto']",0,0,1,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,expand_refl,"['intro', 'exists', 'auto', 'split', 'intros', 'exists', 'destruct', 'auto', 'destruct', 'auto', 'right', 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,expand_trans,"['intros', 'destruct', 'destruct', 'exists', 'apply', 'auto', 'exists', 'auto']",0,0,1,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,wexpand_refl,"['intro', 'exists', 'auto', 'split', 'intros', 'exists', 'destruct', 'auto', 'destruct', ""[ right | exists x' ]"", 'auto']",0,0,0,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Settings.json,wexpand_trans,"['intros', 'destruct', 'destruct', 'exists', 'apply', 'auto', 'exists', 'auto']",0,0,1,0,1,3
/mnt/cisk/zmq/dataset/data/weak-up-to/Diagrams.json,diagram_incl,"['intros', 'elim', 'auto', 'intros', 'exists', 'auto']",0,0,0,0,2,2
